iter	Passed	Remaining
0	144	144716
1	154	77271
2	164	54742
3	182	45523
4	190	37972
5	200	33245
6	206	29325
7	213	26429
8	220	24316
9	228	22643
10	250	22478
11	256	21109
12	264	20051
13	271	19137
14	280	18442
15	288	17746
16	299	17341
17	311	17016
18	325	16824
19	331	16248
20	338	15766
21	346	15400
22	353	14998
23	359	14632
24	365	14265
25	371	13926
26	378	13648
27	392	13610
28	397	13308
29	403	13048
30	410	12819
31	415	12580
32	423	12406
33	430	12220
34	435	12010
35	442	11854
36	448	11666
37	455	11524
38	462	11406
39	469	11267
40	476	11150
41	482	11010
42	490	10909
43	496	10777
44	508	10785
45	513	10658
46	520	10555
47	536	10635
48	541	10511
49	547	10404
50	555	10328
51	560	10223
52	567	10138
53	574	10058
54	579	9950
55	592	9980
56	598	9909
57	604	9821
58	609	9728
59	648	10154
60	653	10062
61	660	9989
62	666	9914
63	671	9822
64	678	9756
65	685	9700
66	693	9650
67	701	9614
68	707	9544
69	714	9489
70	719	9414
71	725	9356
72	748	9510
73	764	9571
74	774	9551
75	782	9507
76	788	9445
77	796	9415
78	801	9348
79	807	9289
80	813	9225
81	818	9168
82	826	9127
83	831	9069
84	837	9014
85	844	8974
86	849	8919
87	856	8874
88	862	8823
89	868	8777
90	874	8732
91	880	8688
92	886	8644
93	893	8614
94	899	8568
95	907	8548
96	913	8503
97	932	8586
98	940	8556
99	945	8506
100	964	8582
101	971	8551
102	977	8509
103	982	8467
104	990	8443
105	996	8400
106	1003	8372
107	1009	8338
108	1015	8299
109	1021	8266
110	1050	8413
111	1055	8371
112	1060	8323
113	1066	8288
114	1071	8249
115	1078	8218
116	1085	8193
117	1092	8164
118	1102	8160
119	1108	8128
120	1114	8099
121	1121	8068
122	1126	8034
123	1134	8012
124	1140	7983
125	1146	7950
126	1152	7920
127	1158	7892
128	1165	7872
129	1171	7839
130	1177	7811
131	1184	7785
132	1189	7756
133	1198	7743
134	1215	7787
135	1220	7751
136	1226	7723
137	1244	7773
138	1251	7752
139	1257	7726
140	1265	7709
141	1270	7674
142	1275	7645
143	1282	7622
144	1287	7594
145	1298	7594
146	1303	7563
147	1309	7537
148	1328	7590
149	1334	7563
150	1340	7536
151	1346	7513
152	1352	7487
153	1359	7467
154	1365	7444
155	1371	7417
156	1377	7394
157	1382	7370
158	1388	7343
159	1398	7340
160	1403	7315
161	1409	7292
162	1414	7265
163	1419	7237
164	1425	7214
165	1431	7189
166	1435	7161
167	1442	7144
168	1447	7118
169	1453	7097
170	1459	7076
171	1464	7049
172	1470	7028
173	1477	7015
174	1483	6992
175	1493	6990
176	1499	6971
177	1506	6956
178	1511	6933
179	1518	6915
180	1524	6896
181	1530	6878
182	1537	6862
183	1542	6839
184	1547	6817
185	1571	6877
186	1577	6857
187	1583	6839
188	1587	6810
189	1591	6786
190	1599	6773
191	1605	6758
192	1612	6740
193	1619	6729
194	1624	6707
195	1631	6690
196	1661	6772
197	1669	6760
198	1674	6740
199	1681	6726
200	1687	6707
201	1693	6689
202	1701	6678
203	1707	6662
204	1717	6658
205	1722	6639
206	1731	6632
207	1737	6614
208	1742	6596
209	1749	6582
210	1754	6558
211	1760	6543
212	1766	6526
213	1772	6509
214	1779	6496
215	1786	6483
216	1791	6466
217	1798	6450
218	1803	6431
219	1810	6419
220	1817	6404
221	1822	6388
222	1830	6376
223	1836	6360
224	1843	6348
225	1848	6331
226	1854	6315
227	1861	6303
228	1866	6285
229	1872	6269
230	1879	6256
231	1885	6240
232	1893	6232
233	1899	6217
234	1908	6211
235	1915	6200
236	1922	6189
237	1928	6173
238	1933	6157
239	1942	6150
240	1947	6132
241	1952	6114
242	1960	6107
243	1966	6091
244	1973	6081
245	1978	6064
246	1984	6049
247	1991	6038
